URL,Type,Title,H1,Meta description,Body characters,Indexable,Source
https://insertshub.com/about-us/,page,About Us - Inserts Hub,About Us,"Learn about Inserts Hub, a wholesale supplier of custom packaging inserts for businesses of every size.",2324,"index,follow",WordPress XML export (rendered snapshot)
https://insertshub.com/contact-us/,page,Contact Inserts Hub | Custom Packaging Inserts,We’re Here to Help!,"Contact Inserts Hub for custom cardboard, corrugated, foam, kraft, paperboard, molded pulp inserts, trays, dividers, and holders.",546,"index,follow",WordPress XML export (rendered snapshot)
https://insertshub.com/privacy-policy/,page,Privacy Policy - Inserts Hub,Privacy Policy,"How Inserts Hub collects, uses and protects the information you share with us.",3317,"index,follow",WordPress XML export (rendered snapshot)
https://insertshub.com/refund_returns/,page,Refund and Returns Policy - Inserts Hub,Refund and Returns Policy,Read the Inserts Hub refund and returns policy for custom packaging insert orders.,1684,"index,follow",WordPress XML export (rendered snapshot)
https://insertshub.com/terms-conditions/,page,Terms & Conditions - Inserts Hub,Terms & Conditions,The terms and conditions that apply to orders placed with Inserts Hub.,4179,"index,follow",WordPress XML export (rendered snapshot)
https://insertshub.com/thank-you/,page,Thank You - Inserts Hub,Thank you,Thank you for contacting Inserts Hub. Our team will reply to your enquiry shortly.,0,"noindex,follow",WordPress XML export (rendered snapshot)
https://insertshub.com/product/custom-foam-inserts/,product,Custom Printed Foam Inserts Boxes with Logo | Inserts Hub,Custom Foam Inserts,"Looking for custom foam inserts? Inserts Hub offers wholesale pricing, free design, and various printing options. Quote Now!",11119,"index,follow",WooCommerce CSV export
https://insertshub.com/product/cupcake-boxes-with-inserts/,product,Wholesale Cupcake Boxes With Inserts | Inserts Hub,Cupcake Boxes With Inserts,"Wholesale cupcake boxes with inserts for bakery businesses. High-quality materials, fast turnaround times, and competitive pricing.",11968,"index,follow",WooCommerce CSV export
https://insertshub.com/product/cardboard-box-inserts/,product,Custom Cardboard Box Inserts At Packaging | Inserts Hub,Cardboard Box Inserts,"Custom cardboard box inserts for product protection and branding. Wholesale pricing, fast turnaround, free design. Quote Us.",12339,"index,follow",WooCommerce CSV export
https://insertshub.com/product/box-divider-inserts/,product,Get Custom Box Divider Inserts Print & Packaging | Inserts Hub,Box Divider Inserts,Keep your packages neat and organized with our durable box divider inserts. Customize your packaging to fit any product size and shape.,13292,"index,follow",WooCommerce CSV export
https://insertshub.com/product/candle-boxes-with-inserts/,product,Candle Boxes With Inserts at Wholesale Rates | Inserts Hub,Candle Boxes With Inserts,Custom candle boxes with inserts at wholesale prices. Protect and showcase your candles with high-quality packaging. Quote Now.,14184,"index,follow",WooCommerce CSV export
https://insertshub.com/product/mailer-box-inserts/,product,Custom Mailer Box Inserts Wholesale Price | Inserts Hub,Mailer Box Inserts,"Enhance your packaging with custom Mailer Box Inserts. High-quality materials, fast turnaround, and free design services. Order now!",11743,"index,follow",WooCommerce CSV export
https://insertshub.com/product/candy-box-inserts/,product,Buy Custom Candy Box Inserts | Inserts Hub,Candy Box Inserts,"Custom candy box inserts at wholesale prices. Free design, fast turnaround, and high-quality materials. Enhance your packaging today.",12148,"index,follow",WooCommerce CSV export
https://insertshub.com/product/mini-cupcake-inserts/,product,Order Custom Mini Cupcake Boxes and Inserts | Inserts Hub,Mini Cupcake Inserts,"Wholesale Mini Cupcake Inserts: High-Quality Inserts for Your Cupcakes. Custom sizes, styles, & coatings.Inserts Hub offers various options & fast delivery.",10148,"index,follow",WooCommerce CSV export
https://insertshub.com/product/custom-cardboard-inserts/,product,Buy Custom Cardboard Inserts | Inserts Hub,Custom Cardboard Inserts,Looking for custom packaging solutions? Inserts Hub provides custom cardboard inserts tailored to your specific needs. Order today.,10925,"index,follow",WooCommerce CSV export
