File,Kind,Reason,Evidence,Action
https://insertshub.com/category/1/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/25/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/adobe-generative-ai-3-2/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/adobe-generative-ai-8-2/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/bez-rubriki/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/blog/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/boaboa-pt/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/botteganapule-com/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/casino/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/casino-online-2/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/casino1/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/casino2/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/casino3/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/casino4/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/cmgv-es/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/computers-games/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/crobar-co-uk-2/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/forex-news/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/melhorcasinoonlineportugal-com/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/montecatini-cl/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/my-texts/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/new-casino/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/news/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/om/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/om-cc/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/papeleriaeliris-com-mx/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/public/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/sanodelucas-cl/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/spiele/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/test/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/top-casinos/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/top-kasyno/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
https://insertshub.com/category/uncategorized/,Spam doorway URL,Injected blog category archive; no legitimate post content exists on the site.,Present in the WordPress XML term list; the export contains zero posts.,Excluded from the build; returns 410 Gone
"elementor_library #36 ""homepage""",Elementor template,"The entire template is another company's homepage (candle packaging), including its logo, phone number, email, Facebook page and 14 outbound product links.",25 links to thecandlepackaging.com plus info@thecandlepackaging.com and tel:650-710-4676 inside the template body.,Excluded entirely; the live homepage uses a different template
page #3130 /about-us-2/,Duplicate page with injected spam,Duplicate of /about-us/ carrying injected links to capitancooks.co.uk and chickenroadsgioco.it.,Identical title and H1 to /about-us/; spam paragraph confirmed live at fetch time.,Excluded; 301 to /about-us/
"pages #7 /cart/, #8 /checkout/, #9 /my-account/",WooCommerce utility pages with injected spam,Each contained an injected wp:html block promoting a gambling site.,"madslotscasinos.com, casinosbof.co.uk and casino-verywell.co.uk links confirmed live at fetch time.",Excluded; 301 to the nearest legitimate page
Homepage hidden-link block (page #41),Hidden text / cloaked links,Two absolutely-positioned off-screen anchors (left:-4927px and top/left:-9999px) linking to betwin360casino.it and roman-peschanoe.ru.,Present in the WordPress XML export of the homepage.,Excluded from the migrated homepage
"products #7027, #7028",Draft products,Never published; both 404 on the live site. #7028 also contained injected content.,Published = -1 in the WooCommerce CSV; HTTP 404 confirmed live.,Not created; inbound links repointed to the closest live product
Product JSON-LD aggregateRating / review,Fabricated structured data,"Every product carried a 5-star rating with reviewCount 1, authored by the site administrator's own email, whose review body was a copy of the meta description.",Observed in the live JSON-LD on /product/white-cardboard-inserts/.,Not carried over; all other Offer fields preserved
"WordPress theme, Elementor runtime, plugin assets, custom_css #1687, wp_navigation #4, saswp #1733",Compromised platform code,"Clean-room rule: no theme, plugin or page-builder code from the compromised install is reused.",n/a — excluded by policy.,"Excluded; the design was rebuilt from screenshots, PDFs and layout data"
"WordPress users, password hashes, sessions, form submissions",Credentials and PII,Clean-room rule: no accounts or stored secrets are migrated.,"The export contains one author record (shanimazhar82@gmail.com), which was not imported.",Excluded
