Old URL,Page type,Existing status,Canonical (old),Title (old),Meta description (old),H1 (old),Indexability (old),Legitimacy status,New URL,Required action,Notes
https://insertshub.com/,homepage,200,https://insertshub.com/,"Custom Inserts | Foam, Cardboard & More - Inserts Hub","Shop wholesale custom inserts for all your packaging needs at Inserts Hub. From foam inserts and cardboard dividers, we deal in all.",Custom Inserts for Every Need,"index,follow",Legitimate,https://insertshub.com/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
https://insertshub.com/products/,product archive,200,https://insertshub.com/products/,Products - Inserts Hub,"Browse every custom packaging insert from Inserts Hub: cardboard, corrugated, foam, kraft, paperboard, molded pulp and plastic inserts at wholesale prices.",Products,"index,follow",Legitimate,https://insertshub.com/products/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
https://insertshub.com/products/page/2/,product archive (paginated),200,https://insertshub.com/products/page/2/,Products - Inserts Hub,"Page 2 of custom packaging inserts from Inserts Hub, including cardboard, corrugated, foam and kraft insert styles.",Products,"index,follow",Legitimate,https://insertshub.com/products/page/2/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
https://insertshub.com/product-category/cardboard-inserts/,product category,200,https://insertshub.com/product-category/cardboard-inserts/,Cardboard Inserts & Product Packaging Solutions | Inserts Hub,"Protect your products with custom cardboard inserts. Single &amp; multi-product layouts, free design help, wholesale pricing &amp; fast USA delivery.",Cardboard Inserts,"index,follow",Legitimate,https://insertshub.com/product-category/cardboard-inserts/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
https://insertshub.com/product-category/product/,product category,200,https://insertshub.com/product-category/product/,Product Archives - Inserts Hub,"Browse product from Inserts Hub — custom sizes, materials and printing options at wholesale prices.",Product,"index,follow",Legitimate,https://insertshub.com/product-category/product/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
https://insertshub.com/product-category/product/page/2/,product category (paginated),200,https://insertshub.com/product-category/product/page/2/,Product Archives - Inserts Hub,"Page 2 of product from Inserts Hub — custom sizes, materials and printing options at wholesale prices.",Product,"index,follow",Legitimate,https://insertshub.com/product-category/product/page/2/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
https://insertshub.com/about-us/,page,200,https://insertshub.com/about-us/,About Us - Inserts Hub,"Learn about Inserts Hub, a wholesale supplier of custom packaging inserts for businesses of every size.",About Us,"index,follow",Legitimate,https://insertshub.com/about-us/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
https://insertshub.com/contact-us/,page,200,https://insertshub.com/contact-us/,Contact Inserts Hub | Custom Packaging Inserts,"Contact Inserts Hub for custom cardboard, corrugated, foam, kraft, paperboard, molded pulp inserts, trays, dividers, and holders.",We’re Here to Help!,"index,follow",Legitimate,https://insertshub.com/contact-us/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
https://insertshub.com/privacy-policy/,page,200,https://insertshub.com/privacy-policy/,Privacy Policy - Inserts Hub,"How Inserts Hub collects, uses and protects the information you share with us.",Privacy Policy,"index,follow",Legitimate,https://insertshub.com/privacy-policy/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
https://insertshub.com/refund_returns/,page,200,https://insertshub.com/refund_returns/,Refund and Returns Policy - Inserts Hub,Read the Inserts Hub refund and returns policy for custom packaging insert orders.,Refund and Returns Policy,"index,follow",Legitimate,https://insertshub.com/refund_returns/,Preserved at the same URL,"URL, slug and trailing slash unchanged."
